id	name	quantity
1	macaroni and cheese	0.0
2	chicken fricassee	0.0
3	salmon	0.0
4	pasta with meatballs	1.0
5	chickpea stew	0.0
6	oatmeal	5.0
7	consumable supplies	7.0
8	school snack	21.0
9	home snack	8.0
10	hot chocolate	15.0
11	Tim snacks	7.0
12	home lunch	3.0
13	boiled potatoes	0.0
14	succotash	0.0
15	cornbread	0.0
16	biscuits	0.0
17	rice	2.0
18	coconut lentil curry	1.0
19	fish sticks	1.0
20	sweet potato fries	1.0
21	peas	1.0
22	corn	0.0
23	saag paneer	0.0
24	chicken tikka masala	0.0
25	veggie chili	0.0
26	hamburgers	0.0
27	hot dogs	0.0
28	veggie burgers	0.0
29	butternut squash soup	0.0
30	grilled cheese sandwiches	0.0
31	baked beans	0.0
32	ice cream	0.0
33	beverages	9.0
34	steak	0.0
35	corn on the cob	0.0
36	cheese quesadillas	0.0
37	Mexican dip	0.0
38	burgers and franks	0.0
39	butternut squash ravioli	0.0
40	pizza	0.0
41	potato curry	0.0
42	vegetable egg fried rice stir fry	1.0
43	oat muffin	0.0
44	potato cashew curry	0.0
