id	name	unit	pantry_id	wegmans_id	amount	shaws_id	traderjoes_id	marketbasket_id
1	2% milk	oz	16	2	0.00	6	4	1
2	apple juice	oz	13	6	0.00	13	3	6
3	apples	oz	12	19	12.70	4	1	23
4	arnold bread	oz	7	22	0.00	1	5	18
5	avocados	oz	12	19	0.00	4	1	23
6	baby carrots	oz	15	19	12.00	4	1	23
7	baby pouches	oz	11	17	0.00	7	8	15
8	baby spinach	oz	15	19	0.00	4	1	26
9	baby wipes	oz	2	17	0.00	7	8	26
10	baked beans	oz	6	7	0.00	16	3	2
11	bananas	oz	12	19	3.80	4	1	23
12	berries	oz	14	19	20.10	4	1	23
13	black beans	oz	6	7	0.00	17	3	3
14	boneless skinless chicken breasts	oz	17	20	0.00	9	2	19
15	boneless skinless chicken thighs	oz	17	20	0.00	9	2	26
16	butter	oz	13	12	0.00	9	4	26
17	butternut squash soup	oz	6	13	0.00	17	3	8
18	canola oil	oz	5	13	0.00	17	3	3
19	carrots	oz	15	19	0.00	4	1	26
20	cashews	oz	10	8	0.00	10	3	23
21	celery	oz	15	19	8.10	4	1	23
22	cereal	oz	10	5	0.00	13	3	26
23	clementines	each	12	19	0.00	4	1	26
24	cocoa	teaspoon	6	11	0.00	15	3	26
25	coconut milk (full fat)	oz	6	14	0.00	20	3	3
26	crackers	oz	10	8	12.00	14	3	18
27	cranberry juice	oz	13	7	54.00	13	3	6
28	cream of chicken soup	oz	6	11	0.00	16	3	8
29	cucumber	oz	15	19	2.85	4	1	23
30	dark chocolate	oz	19	11	10.50	11	6	8
31	diapers size 4	each	2	17	0.00	7	8	26
32	dishwasher detergent	oz	9	4	0.00	3	8	11
33	eggs	each	17	2	0.00	9	4	1
34	english muffins	oz	7	22	0.00	17	5	26
35	fish sticks	oz	3	23	14.00	5	6	20
36	frozen corn	oz	3	23	0.00	5	6	20
37	frozen meatballs	oz	3	23	0.00	5	6	26
38	frozen peas	oz	3	23	0.00	5	6	20
39	garlic	oz	12	19	0.00	4	1	23
40	ginger ale	oz	20	7	0.00	12	8	17
41	gogurt	oz	19	9	32.00	1	8	1
42	hot dog buns	each	7	22	0.00	1	5	18
43	hot dogs	oz	17	12	0.00	19	2	2
44	ice cream	oz	3	24	0.00	5	6	25
45	ice cream cones	each	10	11	0.00	17	6	26
46	ketchup	oz	13	11	0.00	17	3	2
47	kleenex	box	1	1	0.00	8	8	26
48	large garbage bags	each	9	3	0.00	3	8	26
49	laundry detergent	oz	1	4	0.00	3	8	26
50	laundry pods	each	1	4	0.00	3	8	26
51	lima beans	oz	3	23	0.00	5	6	26
52	mac&cheese	oz	6	14	0.00	16	3	26
53	meatballs	oz	3	23	0.00	5	6	19
54	mountain dew	oz	1	10	70.00	12	8	17
55	special produce	oz	12	19	0.00	4	1	23
56	nuts	oz	10	11	0.00	10	2	23
57	oats	oz	10	5	25.00	13	2	4
58	orange juice	oz	13	2	0.00	17	4	1
59	oranges	oz	12	19	0.00	4	1	23
