amount	unit	description	id	location
256.00	oz	whole milk	98	aisle 1
32.00	oz	gogurt	41	aisle 1
15.00	oz	protein yogurt	129	aisle 1
14.00	oz	Greek yogurt	100	aisle 1
0.75	oz	unsalted butter	95	aisle 1
25.00	oz	oats	57	aisle 4
16.00	oz	pasta	64	aisle 5
5.00	oz	diced tomatoes	113	aisle 5
5.00	oz	tomato sauce	93	aisle 5
54.00	oz	cranberry juice	27	aisle 6
21.00	oz	sugar	89	aisle 7
10.50	oz	dark chocolate	30	aisle 8
3.20	oz	veggie straws	126	aisle 9
0.40	oz	vitamins	97	aisle 13
70.00	oz	mountain dew	54	aisle 17
12.00	oz	crackers	26	aisle 18
4.00	oz	sweet potato	90	produce
20.10	oz	berries	12	produce
12.00	oz	baby carrots	6	produce
11.15	oz	red peppers	75	produce
4.00	oz	green beans	123	produce
8.10	oz	celery	21	produce
2.85	oz	cucumber	29	produce
3.80	oz	bananas	11	produce
12.70	oz	apples	3	produce
2.20	oz	kiwi	125	produce
14.00	oz	fish sticks	35	aisle 20
20.00	oz	sweet potato fries	91	aisle 20
16.00	oz	stir fry vegetables	153	aisle 20
