amount	unit	description	id	location
70	oz	mountain dew	54	laundry room
0	roll	paper towels	60	laundry room
0	roll	toilet paper	92	laundry room
0	oz	laundry detergent	49	laundry room
0	box	kleenex	47	laundry room
0	each	diapers size 7	101	bedrooms
0	each	diapers size 4	31	bedrooms
0	oz	baby wipes	9	bedrooms
0	oz	ACT	150	bedrooms
20	oz	sweet potato fries	91	freezer
16	oz	stir fry vegetables	153	freezer
0	oz	meatballs	53	freezer
0	oz	frozen peas	38	freezer
14	oz	fish sticks	35	freezer
0	oz	pepperoni	156	freezer
0	oz	soy sauce	154	fridge door
0	oz	orange juice	58	fridge door
54	oz	cranberry juice	27	fridge door
0	oz	jelly	145	fridge door
0	oz	ketchup	46	fridge door
0	oz	parmesan cheese	61	fridge door
0	oz	sesame oil	155	fridge door
0	oz	apple juice	2	fridge door
0.75	oz	unsalted butter	95	fridge door
0	oz	grapes	130	fridge fruits
20.1	oz	berries	12	fridge fruits
12	oz	baby carrots	6	fridge vegetables
11.15	oz	red peppers	75	fridge vegetables
4	oz	green beans	123	fridge vegetables
8.1	oz	celery	21	fridge vegetables
0	oz	carrots	19	fridge vegetables
2.85	oz	cucumber	29	fridge vegetables
256	oz	whole milk	98	fridge bottom shelf
0	oz	pasta sauce	65	fridge bottom shelf
0	each	eggs	33	fridge middle shelf
0	oz	cheese snack	151	fridge cheese drawer
14	oz	Greek yogurt	100	fridge top shelf
15	oz	protein yogurt	129	fridge top shelf
32	oz	gogurt	41	fridge top shelf
10.5	oz	dark chocolate	30	fridge top shelf
0	oz	ginger ale	40	on top of fridge
0	teaspoon	cloves	112	spice rack
0	teaspoon	curry powder	111	spice rack
0	teaspoon	cinnamon	117	spice rack
0	teaspoon	fresh ginger	133	spice rack
0	oz	honey	146	spice rack
0	teaspoon	salt	82	spice rack
0	oz	vegetable oil	96	spice rack
0	oz	rice	77	left cabinets
0	teaspoon	cocoa	24	left cabinets
16	oz	pasta	64	left cabinets
0	teaspoon	vanilla	128	left cabinets
5	oz	tomato sauce	93	left cabinets
21	oz	sugar	89	left cabinets
5	oz	diced tomatoes	113	left cabinets
0	oz	vegetable broth	114	left cabinets
0	oz	lentils	110	left cabinets
0	oz	coconut milk (full fat)	25	left cabinets
0	oz	soft bread	87	right cabinets
0	oz	peanut butter - crunchy	67	right cabinets
0	oz	herbal tea	140	right cabinets
0	oz	peanut butter - creamy	66	right cabinets
0	oz	black tea	139	right cabinets
0	oz	arnold bread	4	right cabinets
0	each	large garbage bags	48	under sink
0	oz	dishwasher detergent	32	under sink
0	oz	rinse aid	78	under sink
3.2	oz	veggie straws	126	pantry
12	oz	crackers	26	pantry
0	oz	nuts	56	pantry
0	oz	popcorn	124	pantry
25	oz	oats	57	pantry
0	oz	raisins	74	pantry
0	oz	raisin boxes	73	snack drawer
0	oz	ritz bits	79	snack drawer
0.4	oz	vitamins	97	snack drawer
3.8	oz	bananas	11	counter
12.7	oz	apples	3	counter
0	oz	oranges	59	counter
0	oz	special produce	55	counter
2.2	oz	kiwi	125	counter
4	oz	sweet potato	90	counter
0	oz	garlic	39	counter
0	oz	pears	68	counter
0	oz	yellow onions	99	counter
