amount	unit	description	id	location
3.00	oz	peanut butter - crunchy	67	far left
21.00	oz	protein yogurt	129	far left
16.00	oz	gogurt	41	far left
4.00	oz	jelly	145	far left
9.00	oz	soft bread	87	far left
6.00	oz	arnold bread	4	far left
10.50	oz	peanut butter - creamy	66	far left
14.00	oz	Greek yogurt	100	far left
69.00	oz	2% milk	1	back left corner
161.00	oz	whole milk	98	back left corner
1.50	each	eggs	33	back left (meat/eggs)
0.75	oz	unsalted butter	95	back left (meat/eggs)
8.00	oz	baby pouches	7	aisle 16 (baby)
15.00	oz	baby wipes	9	aisle 16 (baby)
10.00	each	diapers size 4	31	aisle 16 (baby)
10.00	oz	dishwasher detergent	32	aisle 14 (household)
6.00	each	diapers size 7	101	aisle 14 (household)
3.50	roll	toilet paper	92	aisle 14 (household)
2.50	roll	paper towels	60	aisle 14 (household)
3.50	each	large garbage bags	48	aisle 14 (household)
5.00	oz	laundry detergent	49	aisle 14 (household)
3.00	each	small garbage bags	86	aisle 14 (household)
2.50	oz	rinse aid	78	aisle 14 (household)
1.25	box	kleenex	47	aisle 13 (household)
6.00	oz	veggie straws	126	aisle 12 (snacks)
30.00	oz	nuts	56	aisle 12 (snacks)
3.00	oz	popcorn	124	aisle 12 (snacks)
10.50	oz	dark chocolate	30	aisle 11 (candy)
70.00	oz	mountain dew	54	aisle 10 (soda)
12.50	oz	ginger ale	40	aisle 10 (soda)
30.00	oz	apple juice	2	aisle 9 (breakfast)
20.00	oz	oats	57	aisle 9 (breakfast)
30.00	oz	cranberry juice	27	aisle 9 (breakfast)
31.00	oz	ritz bits	79	aisle 8 (crackers)
7.50	oz	crackers	26	aisle 8 (crackers)
7.50	oz	sugar	89	aisle 7 (baking)
7.00	oz	raisin boxes	73	aisle 7 (baking)
5.80	oz	raisins	74	aisle 7 (baking)
5.00	oz	diced tomatoes	113	aisle 5 (general)
5.00	oz	tomato sauce	93	aisle 5 (general)
5.00	oz	rice	77	aisle 5 (general)
16.00	oz	pasta	64	aisle 3 (pasta)
5.00	oz	coconut milk (full fat)	25	world foods
1.00	oz	garlic	39	produce
5.10	oz	apple pears	127	produce
4.00	oz	sweet potato	90	produce
0.60	oz	grapes	130	produce
3.00	oz	green beans	123	produce
3.95	oz	red peppers	75	produce
2.00	oz	yellow onions	99	produce
11.80	oz	berries	12	produce
7.60	oz	celery	21	produce
5.50	oz	carrots	19	produce
8.00	oz	baby carrots	6	produce
1.55	oz	cucumber	29	produce
4.10	oz	oranges	59	produce
7.60	oz	apples	3	produce
6.80	oz	pears	68	produce
6.60	oz	bananas	11	produce
5.20	oz	new produce	55	produce
3.60	oz	kiwi	125	produce
14.00	oz	fish sticks	35	frozen
15.00	oz	meatballs	53	frozen
20.00	oz	sweet potato fries	91	frozen
12.00	oz	frozen peas	38	frozen
8.00	oz	pasta sauce	65	unknown
6.00	oz	ketchup	46	unknown
4.00	teaspoon	cinnamon	117	unknown
0.75	oz	vitamins	97	unknown
0.50	oz	black tea	139	unknown
3.00	teaspoon	curry powder	111	unknown
0.25	teaspoon	cloves	112	unknown
6.00	oz	lentils	110	unknown
3.00	oz	parmesan cheese	61	unknown
0.20	oz	honey	146	unknown
8.00	oz	vegetable broth	114	unknown
0.50	oz	herbal tea	140	unknown
7.50	oz	orange juice	58	unknown
